 1736: 2.883084, 3.077443 avg loss, 0.000076 rate, 24.666108 seconds, 888832 images, 23.374211 hours left
 1744: 2.723436, 3.042042 avg loss, 0.000077 rate, 24.551441 seconds, 892928 images, 23.432626 hours left
 1752: 2.841595, 3.021997 avg loss, 0.000078 rate, 24.575455 seconds, 897024 images, 23.488554 hours left
 1760: 2.826703, 3.002468 avg loss, 0.000080 rate, 24.669304 seconds, 901120 images, 23.543660 hours left
 1768: 2.880529, 2.990274 avg loss, 0.000081 rate, 27.804528 seconds, 905216 images, 23.598774 hours left
 1776: 2.952825, 2.986529 avg loss, 0.000083 rate, 27.238035 seconds, 909312 images, 23.689645 hours left
 1784: 2.929059, 2.980782 avg loss, 0.000084 rate, 31.755515 seconds, 913408 images, 23.772343 hours left
 1792: 2.872539, 2.969958 avg loss, 0.000086 rate, 25.548235 seconds, 917504 images, 23.906513 hours left
 1800: 2.755223, 2.948484 avg loss, 0.000087 rate, 25.615368 seconds, 921600 images, 23.966080 hours left
 1808: 3.598920, 3.013528 avg loss, 0.000089 rate, 25.998777 seconds, 925696 images, 24.025266 hours left
 1816: 2.849019, 2.997077 avg loss, 0.000090 rate, 25.786369 seconds, 929792 images, 24.087756 hours left
 1824: 3.052937, 3.002663 avg loss, 0.000092 rate, 26.071031 seconds, 933888 images, 24.146574 hours left
 1832: 2.851346, 2.987531 avg loss, 0.000094 rate, 25.825798 seconds, 937984 images, 24.207533 hours left
 1840: 3.248132, 3.013591 avg loss, 0.000095 rate, 26.267190 seconds, 942080 images, 24.264464 hours left
 1848: 3.182492, 3.030481 avg loss, 0.000097 rate, 17.895701 seconds, 946176 images, 24.325353 hours left
 1856: 3.069074, 3.034341 avg loss, 0.000098 rate, 17.931894 seconds, 950272 images, 24.288497 hours left
 1864: 3.083265, 3.039233 avg loss, 0.000100 rate, 18.196885 seconds, 954368 images, 24.252030 hours left
 1872: 2.976103, 3.032920 avg loss, 0.000102 rate, 18.119092 seconds, 958464 images, 24.218573 hours left
 1880: 3.407783, 3.070406 avg loss, 0.000104 rate, 18.213333 seconds, 962560 images, 24.184155 hours left
 1888: 3.034153, 3.066781 avg loss, 0.000105 rate, 18.366956 seconds, 966656 images, 24.150756 hours left
 1896: 2.928104, 3.052913 avg loss, 0.000107 rate, 18.756415 seconds, 970752 images, 24.119042 hours left
 1904: 2.735825, 3.021204 avg loss, 0.000109 rate, 20.440057 seconds, 974848 images, 24.091676 hours left
 1912: 2.901209, 3.009205 avg loss, 0.000111 rate, 20.152291 seconds, 978944 images, 24.083323 hours left
 1920: 3.051754, 3.013460 avg loss, 0.000112 rate, 20.804823 seconds, 983040 images, 24.071332 hours left
 1928: 2.825462, 2.994660 avg loss, 0.000114 rate, 14.002015 seconds, 987136 images, 24.066408 hours left
 1936: 2.803359, 2.975530 avg loss, 0.000116 rate, 13.612483 seconds, 991232 images, 23.984122 hours left
 1944: 3.350572, 3.013034 avg loss, 0.000118 rate, 13.965639 seconds, 995328 images, 23.897952 hours left
 1952: 2.899788, 3.001709 avg loss, 0.000120 rate, 13.900478 seconds, 999424 images, 23.816320 hours left
 1960: 2.744879, 2.976026 avg loss, 0.000122 rate, 14.063837 seconds, 1003520 images, 23.734461 hours left
 1968: 2.828191, 2.961243 avg loss, 0.000124 rate, 14.061575 seconds, 1007616 images, 23.654945 hours left
